Username,TweetTot,RT,Tweet,Percentuale,Follower,Totale,Differenza,neutral,positive,negative,Code
FranFerrante,1,1,0,0.0368,7862,2720,2719,1,0,0,ITA
FrankZanata,2,2,0,0.0735,168,2720,2718,2,0,0,USA
frax76_,1,1,0,0.0368,9,2720,2719,1,0,0,USA
Freedomanagemnt,8,3,5,0.2941,1065,2720,2712,3,1,4,ITA
frulrobyn,3,3,0,0.1103,871,2720,2717,3,0,0,ITA
gabbo10000,1,1,0,0.0368,64,2720,2719,1,0,0,ITA
GabriPrudente,1,1,0,0.0368,196,2720,2719,1,0,0,ITA
GalvaniM,1,0,1,0.0368,2254,2720,2719,1,0,0,ITA
gambettino,1,0,1,0.0368,823,2720,2719,1,0,0,ITA
GarauSilvana,1,1,0,0.0368,388,2720,2719,1,0,0,ITA
GargaDani,1,1,0,0.0368,35,2720,2719,1,0,0,ITA
GarnellSailing,1,1,0,0.0368,49,2720,2719,1,0,0,ITA
gattasorniona,1,0,1,0.0368,594,2720,2719,1,0,0,ITA
gazambelli,1,1,0,0.0368,255,2720,2719,1,0,0,ITA
GazzaNet_it,1,0,1,0.0368,773,2720,2719,1,0,0,ITA
GazzdelCalatino,1,0,1,0.0368,790,2720,2719,1,0,0,ITA
GazzettaMeridio,1,0,1,0.0368,1770,2720,2719,1,0,0,ITA
gbsxf4,1,1,0,0.0368,71,2720,2719,0,1,0,ITA
GDF,48,10,38,17.647,9237,2720,2672,48,0,0,ITA
Gennaro_DSM,52,44,8,19.118,201,2720,2668,52,0,0,ITA
gera_nicoletti,1,1,0,0.0368,8,2720,2719,1,0,0,ITA
GFPanetta,1,1,0,0.0368,6,2720,2719,1,0,0,ITA
gi11es,1,1,0,0.0368,606,2720,2719,1,0,0,USA
gia161170,1,0,1,0.0368,220,2720,2719,1,0,0,ITA
